код стратегии,Название стратерии,Текст цикла ПредупрТОРО,КраткНазвЦикла,Сцепка,Цикл,Единица,код стратегии_счетчик
1-0045,ЧАС Т11440-Т24320-Т3-КР17280,Текущий ремонт 2,Т2,1-0045Т2,"4320,00",ЧАС,1-0045Т2
1-0045,ЧАС Т11440-Т24320-Т3-КР17280,Текущий ремонт 3,Т3,1-0045Т3,"8640,00",ЧАС,1-0045Т3
1-0045,ЧАС Т11440-Т24320-Т3-КР17280,Капитальный ремонт,КР,1-0045КР,"17280,00",ЧАС,1-0045КР
1-0046,ЧАС ТО6480-ТР12960,Техническое обслуживание,ТО,1-0046ТО,"6480,00",ЧАС,1-0046ТО
1-0046,ЧАС ТО6480-ТР12960,Текущий ремонт,ТР,1-0046ТР,"12960,00",ЧАС,1-0046ТР
1-0047,ЧАС 728640,ТР запорно-рег. арматуры,72,1-004772,"8640,00",ЧАС,1-004772
1-0048,ЧАС ТР2160,Текущий ремонт,ТР,1-0048ТР,"2160,00",ЧАС,1-0048ТР
1-0048,ЧАС ТР2160,Текущий ремонт 1,Т1,1-0048Т1,"4320,00",ЧАС,1-0048Т1
1-0048,ЧАС ТР2160,Текущий ремонт 2,Т2,1-0048Т2,"8640,00",ЧАС,1-0048Т2
1-0048,ЧАС ТР2160,Капитальный ремонт,КР,1-0048КР,"17280,00",ЧАС,1-0048КР
1-0049,ЧАС ТР1440-4320-8640-17280,Текущий ремонт,ТР,1-0049ТР,"1440,00",ЧАС,1-0049ТР
1-0049,ЧАС ТР1440-4320-8640-17280,Текущий ремонт 1,Т1,1-0049Т1,"4320,00",ЧАС,1-0049Т1
1-0049,ЧАС ТР1440-4320-8640-17280,Текущий ремонт 2,Т2,1-0049Т2,"8640,00",ЧАС,1-0049Т2
1-0049,ЧАС ТР1440-4320-8640-17280,Капитальный ремонт,КР,1-0049КР,"17280,00",ЧАС,1-0049КР
1-0050,ЧАС ТР4320,Текущий ремонт,ТР,1-0050ТР,"4320,00",ЧАС,1-0050ТР
1-0051,ЧАС ТО8640,Техническое обслуживание,ТО,1-0051ТО,"8640,00",ЧАС,1-0051ТО
